0xff811e34,wrapped_malloc
0xff901d78,GetDialogItemResolutionToDialog_FW
0xff901dac,SetOriginTypeToDialog_FW
0xff901dd0,SetDefaultMovingFocusToDialog_FW
0xff901df4,LockRefreshDialog_FW
0xff901e38,UnlockRefreshDialog_FW
0xff901ef8,KeepDefaultMoveFocusEventToDialog_FW
0xff902220,InstallDialogItem_FW
0xff9022fc,CreateDialogItem_FW
0xff9023ec,DeleteDialogItem_FW
0xff90246c,DrawDialogItem_FW
0xff902504,ControlEventHandler_FW
0xff902580,SetPropertyToDialogItem_FW
0xff9025f4,GetPropertyFromDialogItem_FW
0xff902668,SetAttributeToDialogItem_FW
0xff9026dc,GetAttributeFromDialogItem_FW
0xff902748,MoveDialogItemPosition_FW
0xff9027bc,ResizeDialogItem_FW
0xff90283c,GetDialogItemPosition_FW
0xff9028bc,GetDialogItemResolution_FW
0xff903d7c,StartGUISystem_FW
0xff903fe0,DeletePalette_FW
0xff904058,SetYUVPaletteIndex_FW
0xff904198,SetPaletteToPhysicalScreen_FW
0xff9041f0,GetPaletteFromPhysicalScreen_FW
0xff90768c,SetCurrentPalette_FW
0xff90769c,SetSystemColorMode_FW
0xff90bb84,LockPhysicalScreen_FW
0xff90bc18,RefreshPhysicalScreen
0xff90bc18,RefreshPhysicalScreen_FW
0xff90bcec,EnableRefreshPhysicalScreen_FW
0xff90bd00,DisableRefreshPhysicalScreen_FW
0xff90bd14,IsEnableRefreshPhysicalScreen_FW
0xff90c63c,PrintBmpVramInfo_FW
0xff90c66c,PrintCurrPalette_FW
0xff90fb5c,_log10
0xff90fcdc,_pow
0xff911b9c,_sqrt
0xff912db4,_log
0xff914758,isalpha
0xff914788,isdigit
0xff9147b8,islower
0xff9147e8,ispunct
0xff914800,isspace
0xff914818,isupper
0xff914830,isxdigit
0xff914848,tolower
0xff914858,toupper
0xff9174cc,atol_FW
0xff917c18,qsort
0xff917c3c,rand
0xff917c60,srand
0xff918054,strtol
0xff9181fc,strtoul
0xff918384,memchr
0xff9183b8,memcmp
0xff9183b8,memcmp_FW
0xff9183f4,memcpy
0xff9183f4,memcpy_FW
0xff91846c,memset
0xff91846c,memset_FW
0xff91848c,strcat
0xff9184b8,strchr
0xff9184dc,strcmp
0xff9184dc,strcmp_FW
0xff918670,strcpy
0xff918670,strcpy_FW
0xff9187d4,strlen
0xff9187d4,strlen_FW
0xff918838,strncmp
0xff91887c,strncpy
0xff9188c4,strpbrk
0xff918900,strrchr
0xff9191a0,mktime
0xff919cf8,strftime
0xff919d24,time
0xff91add4,errnoOfTaskGet
0xff91bf28,vsprintf
0xff91bf8c,sprintf_FW
0xff91d0e0,sscanf_FW
0xff91d180,close
0xff91d1e0,read
0xff91d2c4,lseek
0xff91d7c4,open
0xff91e378,iosDevDelete
0xff91e3a0,iosDevAdd
0xff91e664,iosDrvInstall
0xff9201c0,malloc_alt
0xff9205d0,memShow_FW
0xff9205e0,memPartInfoGet
0xff922d5c,taskDeleteHookAdd
0xff922e20,taskCreateHookAdd
0xff92a200,taskName
0xff92a410,taskSuspend
0xff92a5e4,taskResume
0xff92a9c4,taskLock
0xff92aa6c,taskUnlock
0xff92f218,OutPort_FW
0xff92f22c,InPort_FW
0xff92f2f4,Capture.Delete_FW
0xff931648,apex2us
0xff9a43a8,IsStrobeChargeCompleted
0xff9ac320,SetMontblancVSize_FW
0xff9ac338,GetMontblancVSize_FW
0xff9afee8,EnableOBClampField_FW
0xff9aff00,DisableOBClampField_FW
0xff9b26a4,VirtualImageTimeOut_FW
0xff9f38dc,PTPRspnd.ShowRemoteStg_FW
0xffa242d4,DispCon_ShowBitmapColorBar
0xffa30c18,kbd_pwr_on,(stubs_entry_2.s)
0xffa28c70,SetSDPwrPort_FW
0xffa29b78,GetAdChValue_FW
0xffa29ba8,GetAdVBattBottom_FW
0xffa2b720,SetBattCheckMode_FW
0xffa2b7a8,ShowBattCheckMode_FW
0xffa2b89c,ShowBattChkAdj_FW
0xffa2ba78,GetLBOffset_FW
0xffa2ba88,LowBat_Result_Print_On_FW
0xffa2baa0,LowBat_Result_Print_Off_FW
0xffa2bab4,BatVoltageToAd_FW
0xffa2ccd8,VbattGet
0xffa2ccd8,VbattGet_FW
0xffa30c58,kbd_pwr_off,(stubs_entry_2.s)
0xffa2f1ec,kbd_p1_f
0xffa2f1f8,kbd_p1_f_cont
0xffa2f2b8,kbd_read_keys
0xffa2fc70,GetSDProtect
0xffa30724,kbd_read_keys_r2
0xffa30c18,GetKbdState
0xffa344bc,GetOpticalTemperature
0xffa344d0,GetCCDTemperature
0xffa344e4,GetBatteryTemperature
0xffa3da60,EngDrvOut
0xffa3da78,EngDrvIn
0xffa3da80,EngDrvRead
0xffa3da94,EngDrvBits
0xffa4caa4,EngineDriver.Delete_FW
0xffa4cb08,InitializeAdjustmentSystem_FW
0xffa4cb50,TerminateAdjustmentSystem_FW
0xffa4cb98,InitializeAdjustmentFunction_FW
0xffad9e94,GetCurrentAvValue,(stubs_entry_2.s)
0xffa527e0,GetCurrentTargetDistance
0xffa52a78,MoveFocusLensToDistance
0xffa55aac,SetAE_ShutterSpeed
0xffa56cc4,GetVRAMHPixelsSize
0xffa56cd0,GetVRAMVPixelsSize
0xffa584c4,SavePaletteData
0xffa5dbc0,FA.Delete_FW
0xffa95534,RenameFile_Fut
0xffa955dc,DeleteFile_Fut
0xffa95690,MakeDirectory_Fut
0xffa95710,Fopen_Fut
0xffa95710,Fopen_Fut_FW
0xffa95750,Fclose_Fut
0xffa95750,Fclose_Fut_FW
0xffa9580c,Fread_Fut
0xffa9580c,Fread_Fut_FW
0xffa95860,Fwrite_Fut
0xffa95860,Fwrite_Fut_FW
0xffa958b4,Fgets_Fut
0xffa95900,Fseek_Fut
0xffa95900,Fseek_Fut_FW
0xffa9594c,Feof_Fut
0xffa95988,Fflush_Fut
0xffa993d4,Unmount_FileSystem
0xffa99528,UpdateMBROnFlash
0xffa99fe0,Open
0xffa99fe0,Open_FW
0xffa9a008,Close
0xffa9a008,Close_FW
0xffa9a028,Remove
0xffa9a09c,Read
0xffa9a09c,Read_FW
0xffa9a0a8,Write
0xffa9a0a8,write
0xffa9a0a8,Write_FW
0xffa9a100,Lseek
0xffa9a100,Lseek_FW
0xffa9a1f0,SetFileAttributes
0xffaac394,WriteSDCard,(stubs_entry_2.s)
0xffad34a8,GetFocusLensSubjectDistanceFromLens
0xffad4690,ResetFocusLens
0xffad9e2c,MoveIrisWithAv
0xffae5ca4,ResetZoomLens
0xffae5dbc,MoveZoomLensWithPoint
0xffae5ee4,GetZoomLensCurrentPoint
0xffae5ef8,GetZoomLensCurrentPosition
0xffafa738,DoAFLock
0xffafa7b8,UnlockAF
0xffafab64,ExitFromCompensationEVF
0xffb05d7c,NR_SetDarkSubType
0xffb05e0c,NR_GetDarkSubType
0xffb05f58,RegisterNRTableEvent_FW
0xffb0ae44,PT_EraseAllFile_FW
0xffb0ae7c,PT_mod_FW
0xffb0ae9c,PT_atoi_FW
0xffb0aea8,PT_GetSystemTime
0xffb0aea8,PT_GetSystemTime_FW
0xffb0aec8,PT_SetPropertyCaseString_FW
0xffb0aedc,PT_SetPropertyCaseInt_FW
0xffb0af04,PT_GetPropertyCaseString_FW
0xffb0af18,PT_GetPropertyCaseInt_FW
0xffb0afc4,PT_GetLocalTimeString_FW
0xffb0b020,PT_GetLocalDateString_FW
0xffb0b084,PT_GetLocalDateAndTimeString_FW
0xffb0b0d8,PT_GetLocalYearString_FW
0xffb0b12c,PT_GetLocalMonthString_FW
0xffb0b180,PT_GetLocalDayString_FW
0xffb0b1dc,PT_GetLocalHourMinSecString_FW
0xffb0b26c,PT_PlaySound
0xffb0b26c,PT_PlaySound_FW
0xffb0b284,PT_SetMessage_FW
0xffb0b2ac,PT_UndispMessage_FW
0xffb0b2c8,PT_LCD_BkColor_FW
0xffb0b384,PT_LCD_BkColorDef_FW
0xffb0b3b8,PT_BatLvChange_PreWeak_FW
0xffb0b3c0,PT_BatLvChange_Weak_FW
0xffb0b3c8,PT_BatLvChange_Low_FW
0xffb0b3d0,PT_BatLvChange_SysLow_FW
0xffb0b4f0,PT_StartBatteryTest_FW
0xffb0b544,PT_FinishBatteryTest_FW
0xffb0b58c,PT_GetBatteryLevel_FW
0xffb0b5a4,PT_GetPreWeakBatLv_FW
0xffb0b60c,PT_GetWeakBatLv_FW
0xffb0b674,PT_GetLowBatLv_FW
0xffb0b6dc,PT_GetSysLowBatLv_FW
0xffb0b744,PT_MoveOpticalZoomToTele_FW
0xffb0b758,PT_MoveOpticalZoomToWide_FW
0xffb0b76c,PT_MoveOpticalZoomAt
0xffb0b76c,PT_MoveOpticalZoomAt_FW
0xffb0b788,PT_ChangeZoomSpeed_FW
0xffb0b798,PT_MoveDigitalZoomToTele_FW
0xffb0b7a8,PT_MoveDigitalZoomToWide
0xffb0b7a8,PT_MoveDigitalZoomToWide_FW
0xffb0b7b8,PT_MoveDigitalZoomAt_FW
0xffb0b7cc,PT_DoAFLock_FW
0xffb0b7dc,PT_UnlockAF_FW
0xffb0b7ec,PT_DoAELock_FW
0xffb0b7fc,PT_UnlockAE_FW
0xffb0b80c,PT_MFOn_FW
0xffb0b81c,PT_MFOff_FW
0xffb0bce8,RegisterProductTestEvent_FW
0xffb0c2b8,RegisterShootSeqEvent_FW
0xffb0f9b4,ShowAllTaskInfo_FW
0xffb10abc,GetLogToFile_FW
0xffb10c6c,EraseLogSector_FW
0xffb12954,CreateEventFlag
0xffb12a60,DeleteEventFlag
0xffb12c00,CheckAnyEventFlag
0xffb12c10,CheckAllEventFlag
0xffb12cb0,WaitForEventFlag
0xffb12e54,WaitForAnyEventFlag
0xffb12e64,WaitForAllEventFlag
0xffb12e74,SetEventFlag
0xffb13010,ClearEventFlag
0xffb13060,GetEventFlagValue
0xffb13198,RegisterInterruptHandler
0xffb131bc,UnregisterInterruptHandler
0xffb131d4,GetSRAndDisableInterrupt
0xffb131e0,SetSR
0xffb13200,EnableInterrupt
0xffb13240,CreateMessageQueue
0xffb13390,DeleteMessageQueue
0xffb1358c,ReceiveMessageQueue
0xffb13800,TryReceiveMessageQueue
0xffb139a4,PostMessageQueue
0xffb13bcc,TryPostMessageQueue
0xffb13cf8,GetNumberOfPostedMessages
0xffb13d78,CreateBinarySemaphore
0xffb13e60,CreateCountingSemaphore
0xffb13e60,CreateCountingSemaphore_FW
0xffb13f78,DeleteSemaphore
0xffb13f78,DeleteSemaphore_FW
0xffb14154,TakeSemaphore
0xffb14154,TakeSemaphore_FW
0xffb142ec,TryTakeSemaphore
0xffb1435c,GiveSemaphore
0xffb1435c,GiveSemaphore_FW
0xffb14448,GetSemaphoreValue
0xffb146a4,SleepTask
0xffb146a4,SleepTask_FW
0xffb14790,CreateTask
0xffb14790,CreateTask_FW
0xffb14b50,ExitTask
0xffb14b50,ExitTask_FW
0xffb15544,CreateRecursiveLock
0xffb15660,DeleteRecursiveLock
0xffb156f8,AcquireRecursiveLock
0xffb15820,ReleaseRecursiveLock
0xffb15830,CreateTaskStrictly
0xffb15870,CreateMessageQueueStrictly
0xffb1589c,CreateEventFlagStrictly
0xffb158c8,CreateBinarySemaphoreStrictly
0xffb158f4,CreateCountingSemaphoreStrictly
0xffb15920,CreateRecursiveLockStrictly
0xffb15eac,MemoryChecker_FW
0xffb15fdc,VerifyByte_FW
0xffb181ac,WriteToRom_FW
0xffb18284,EraseSectorOfRom_FW
0xffb18794,LoadScript_FW
0xffb187a4,UnLoadScript_FW
0xffb187b8,Printf_FW
0xffb187d0,ScriptDisEnabled_FW
0xffb187e4,ScriptEnabled_FW
0xffb202a8,realloc
0xffb2069c,DebugAssert
0xffb20f68,LocalTime
0xffb214a4,GetTimeOfSystem_FW
0xffb2ec38,CreateController_FW
0xffb2ecfc,DeleteController_FW
0xffb2ee34,MoveControllerToTopOfZOrder_FW
0xffb2ef98,GetSelfControllerHandle_FW
0xffb327a4,PostLogicalEventForNotPowerType
0xffb327a4,PostLogicalEventForNotPowerType_FW
0xffb32820,PostLogicalEventToUI
0xffb32820,PostLogicalEventToUI_FW
0xffb328a8,PostEventShootSeqToUI_FW
0xffb32910,ShowLogicalEventName_FW
0xffb345f4,IsControlEventActive_FW
0xffb34680,SetLogicalEventActive
0xffb346e4,SetScriptMode
0xffb346e4,SetScriptMode_FW
0xffb346f4,UiEvnt_ShowBitMaps_FW
0xffb34754,UiEvnt_StartDisguiseCradleStatus_FW
0xffb34768,UiEvnt_StopDisguiseCradleStatus_FW
0xffb366c4,IsDisableAutoShutdown_FW
0xffb36798,ShowAutoShutdownTime_FW
0xffb367cc,DisableAutoShutdown_FW
0xffb367e4,EnableAutoShutdown_FW
0xffb36a78,SetAutoShutdownTime
0xffb36a78,SetAutoShutdownTime_FW
0xffb36b74,LockMainPower
0xffb36b74,LockMainPower_FW
0xffb36c0c,UnlockMainPower
0xffb36c0c,UnlockMainPower_FW
0xffb36d10,GetMainPowerLockCounter_FW
0xffb36f08,HardwareDefect_FW
0xffb36f38,HardwareDefectWithRestart_FW
0xffb37cb0,PTM_RestoreUIProperty_FW
0xffb5260c,readdir
0xffb52640,closedir
0xffb52674,opendir
0xffb52708,stat
